word,normalized_word,frequency
हंस,हंस,79
रहते,रहते,79
रहता,रहता,79
सो,सो,78
विद्यार्थियों,विद्यार्थियों,78
बन,बन,78
भारतीय,भारतीय,78
प्रयास,प्रयास,78
जाकर,जाकर,78
विकास,विकास,78
कैसा,कैसा,78
लिया,लिया,78
मोती,मोती,77
संसार,संसार,77
पंक््,पंक्त,77
ताई,ताई,76
उसी,उसी,76
बड़ा,बड़ा,76
देर,देर,76
प्रश्नों,प्रश्नों,76
गाय,गाय,76
मुख्य,मुख्य,76
इनके,इनके,75
होना,होना,75
बोला,बोला,75
सारे,सारे,75
मल्,मल,75
खि,कि,74
भोजन,भोजन,74
बड़ी,बड़ी,74
रह,रह,73
तेनाली,तेनाली,73
सं़े,से,73
लीजिए,लीजिए,72
आकाश,आकाश,72
पहचान,पहचान,72
यात्रा,यात्रा,72
यही,यही,72
आती,आती,72
हाथी,हाथी,72
नृत्य,नृत्य,71
नृतय,नृत्य,71
पक्षी,पक्षी,71
धरती,धरती,71
क्याया,क्या,71
लिखने,लिखने,71
सिर,सिर,71
दृष्,दृष्टि,71
नन,नयन,71
पैर,पैर,70
एन,इन,70
मल््,मल्ल,70
बड़े,बड़े,70
चल,चल,70
हहार,हार,69
संबंध,संबंध,69
बनाकर,बनाकर,69
बताया,बताया,69
छोटी,छोटी,69
त्र,त्रि,69
एकांकी,एकांकी,68
शेर,शेर,68
व्यक्,व्यक्त,68
दिल्ली,दिल्ली,68
सहायक,सहायक,67
उन्होंने,उन्होंने,67
लाल,लाल,67
पढ़ने,पढ़ने,67
आम,आम,67
रखा,रखा,67
खाना,खाना,66
तालाब,तालाब,66
यक्,यक्ष,66
सिद्धार्थ,सिद्धार्थ,66
अनय,अंतर,66
बचचे,बच्चे,65
पूरी,पूरी,65
इनका,इनका,65
सीखने,सीखने,65
कियया,किया,65
कितने,कितने,65
स्थान,स्थान,65
साहब,साहब,65
इंटरनेट,इंटरनेट,65
क्रम,क्रम,65
खूब,खूब,64
प्रकृति,प्रकृति,64
नगर,नगर,64
जिस,जिस,64
करतते,करते,64
ना,ना,64
प्रेम,प्रेम,64
मान,मान,64
पार,पार,64
अथवा,अथवा,64
वाक्यों,वाक्यों,63
लता,लता,63
गोल,गोल,63
इतना,इतना,63
पशु,पशु,63
धयान,ध्यान,63
नदी,नदी,63
पुस्तिका,पुस्तिका,63
जैसी,जैसी,63
चर््चचा,चर्चा,63
ला,ला,63
इतनी,इतनी,62
सुनकर,सुनकर,62
जीत,जीत,62
सोचा,सोचा,62
प्रशिक्षण,प्रशिक्षण,62
हँ,है,62
सोचिए,सोचिए,62
अति,अति,62
निकल,निकल,61
प्रकाश,प्रकाश,61
यय,यह,61
दुनिया,दुनिया,61
कीजि,कीजिए,61
दें,दें,61
जैसा,जैसा,61
वनाथ,वन्य,61
आपका,आपका,61
लए,लिए,61
जानते,जानते,61
अरे,अरे,61
जिसमें,जिसमें,61
गरमी,गर्मी,60
तू,तू,60
जानकारी,जानकारी,60
विद्यार्थी,विद्यार्थी,60
शैक्षिक,शैक्षिक,60
इतने,इतने,60
पुस्,पुस्तक,60
ता,था,60
शब््दों,शब्दों,60
शुरू,शुरू,60
देखो,देखो,60
प्रकाशन,प्रकाशन,60
चि,ची,59
देखिए,देखिये,59
बाल,बाल,59
बाबा,बाबा,59
आदमी,आदमी,59
किसान,किसान,59
दूध,दूध,59
दूसरा,दूसरा,59
पूछा,पूछा,58
जिससे,जिससे,58
रहती,रहती,58
हीरासिंह,हीरासिंह,58
जाएगा,जाएगा,58
ऊँट,ऊँट,58
प्रस्तुत,प्रस्तुत,58
चलता,चलता,58
रानी,रानी,58
चले,चले,58
हीरा,हीरा,58
रेखांकित,रेखांकित,58
बनाया,बनाया,58
लग,लग,57
समिति,समिति,57
हमारी,हमारी,57
इससे,इससे,57
बैठे,बैठे,57
रहने,रहने,57
आँखों,आँखों,57
शंकर,शंकर,56
सूरज,सूरज,56
द्वारा,द्वारा,56
प्रोफेसर,प्रोफेसर,56
शिक्षकों,शिक्षकों,56
शिक्षाक्षा,शिक्षा,56
ढंग,ढंग,56
रेखा,रेखा,55
चाहते,चाहते,55
बंद,बंद,55
चचार्,चर्चा,55
ध्वनि,ध्वनि,55
अंतर,अंतर,55
भूमि,भूमि,55
उन््होंने,उन्होंने,55
भीतर,भीतर,55
बोले,बोले,55
काल,काल,55
सकती,सकती,55
जाओ,जाओ,54
लगते,लगते,54
अचछा,अच्छा,54
लगती,लगती,54
राष्ट्ीय,राष्ट्रीय,54
मिले,मिले,54
चित्रकार,चित्रकार,53
अच्छा,अच्छा,53
पौधे,पौधे,53
माता,माता,53
रखते,रखते,53
कथा,कथा,53
उपयुक्,उपयुक्त,53
सुंदरिया,सुंदरियाँ,53
लगाकर,लगाकर,53
कला,कला,53
बैलों,बैलों,53
शब््द,शब्द,53
बिना,बिना,53
आभार,आभार,52
विकसितत,विकसित,52
जाल,जाल,52
एंजेला,एंजेला,52
इन्हें,इन्हें,52
समुद्र,समुद्र,52
जय,जय,52
सथान,स्थान,52
लो,लो,52
मेंढक,मेंढक,52
दरबारी,दरबारी,52
उनसे,उनसे,52
डर,डर,52
विद्ालय,विद्यालय,52
चारों,चारों,52
लेने,लेने,52
देती,देती,51
बचपन,बचपन,51
किंतु,किंतु,51
लिखा,लिखा,51
विषयय,विषय,51
पूर्व,पूर्व,51
मिला,मिला,51
वृक्ष,वृक्ष,51
पहली,पहली,51
नया,नया,51
गतिविधि,गतिविधि,50
शरीर,शरीर,50
देखे,देखे,50
चींटी,चींटी,50
बनाना,बनाना,50
वाकय,वाक्य,50
मिलान,मिलान,50
पढ़कर,पढ़कर,50
पिता,पिता,50
असम,असम,50
इनमें,इनमें,50
दोहे,दोहे,49
आसमान,आसमान,49
संबंधित,संबंधित,49
टोकरी,टोकरी,49
जुड़े,जुड़े,49
दियया,दिया,49
मगर,मगर,49
चलो,चलो,49
सके,सके,49
मॉरिशस,मॉरिशस,49
अंदर,अंदर,49
उमा,उमा,49
आकर,आकर,49
उड़,उड़,49
पूरे,पूरे,49
पक्षियों,पक्षियों,48
एम,एम,48
इनहें,इन्हें,48
बड़े,बड़े,48
बनाए,बनाए,48
जाएँगे,जाएँगे,48
नानी,नानी,48
तरफ,तरफ,48
आपस,आपस,48
जोर,जोर,48
लिख,लिख,48
जिसे,जिसे,47
गाने,गाने,47
होली,होली,47
बने,बने,47
अंश,अंश,47
सामाजिक,सामाजिक,47
सहयोग,सहयोग,47
भारती,भारती,47
शिक्ा,शिक्षा,47
तभी,तभी,47
आिद,आदि,47
आश्,आशा,47
बल,बल,47
समझने,समझने,47
सारी,सारी,47
तीनों,तीनों,46
पढ़ा,पढ़ा,46
शैली,शैली,46
उनहोंने,उन्होंने,46
देवदत्त,देवदत्त,46
वस्तु,वस्तु,46
सौ,सौ,46
परिवेश,परिवेश,46
ती,ती,46
दिनों,दिनों,46
खा,खा,46
भरा,भरा,46
अधिगम,अधिगम,46
मूल,मूल,46
पात्र,पात्र,46
दूसरी,दूसरी,46
पक्ष,पक्ष,45
स्वयं,स्वयं,45
कार््य,कार्य,45
इसं,इसं,45
लिखे,लिखे,45
गतिविधियों,गतिविधियों,45
हिरण््ययक,हिरण्यक,45
घास,घास,45
खोजबीन,खोजबीन,45
संस्कृति,संस्कृति,45
तयों,त्यों,45
सबके,सबके,45
बता,बता,45
एल,एल,44
तट,तट,44
परिचय,परिचय,44
चली,चली,44
विशेषताएँ,विशेषताएँ,44
डाल,डाल,44
अथर्,अर्थ,44
सुधा,सुधा,44
विद्यालय,विद्यालय,44
सुना,सुना,44
लय,लय,44
गिर,गिर,44
क्षेत्र,क्षेत्र,44
वर्ष,वर्ष,44
अक्षर,अक्षर,44
अनुसंधान,अनुसंधान,44
भूल,भूल,44
स्कूल,स्कूल,44
लिखना,लिखना,44
प्रवेश,प्रवेश,43
सकें,सकें,43
वाक््य,वाक्य,43
राम,राम,43
माला,माला,43
नीति,नीति,43
नाव,नाव,43
चुने,चुने,43
विशेषता,विशेषता,43
प्रभाव,प्रभाव,43
बैठ,बैठ,43
प्ोफेसर,प्रोफेसर,43
रोटी,रोटी,43
बीमार,बीमार,43
लिखी,लिखी,43
बोल,बोल,43
दिलली,दिल्ली,43
निशा,निशा,43
बातों,बातों,43
इधर,इधर,43
संदर््भ,संदर्भ,43
दादी,दादी,43
अंग,अंग,43
योंंं,यों,42
हरी,हरी,42
रचनाओं,रचनाओं,42
फोन,फोन,42
डी,डी,42
रहना,रहना,42
बहन,बहन,42
जानें,जानें,42
सुख,सुख,42
ताकि,ताकि,41
रे,रे,41
सुन,सुन,41
साल,साल,41
रूपरेखा,रूपरेखा,41
भाइयों,भाइयों,41
मंदिर,मंदिर,41
बड़ा,बड़ा,41
बड़ी,बड़ी,41
करो,करो,41
मीरा,मीरा,41
सन्,सन्,41
समास,समास,41
उठा,उठा,41
यात्ा,यात्रा,41
वस्,वस्तु,41
हरे,हरे,41
पड़,पड़,41
करतती,करती,41
बैल,बैल,41
ॠतु,ऋतु,41
पुस्ततक,पुस्तक,41
अतिरिक्,अतिरिक्त,41
समयय,समय,41
दरवाजे,दरवाजे,41
बोलने,बोलने,41
कितनी,कितनी,41
ज़रा,ज़रा,41
अभ्यास,अभ्यास,41
रेवती,रेवती,40
स््,स्,40
हैंंं,हैं,40
उधर,उधर,40
गइ,गई,40
उनमें,उनमें,40
अध्,अध,40
हृदय,हृदय,40
खड़े,खड़े,40
चाल,चाल,40
परंपरा,परंपरा,40
व््यक््,व्यक्,40
सिंहासन,सिंहासन,40
प्रेमा,प्रेमा,40
मामा,मामा,40
आधारित,आधारित,40
सरल,सरल,40
मछलियाँ,मछलियाँ,40
मेंंं,में,40
तुरंत,तुरंत,40
प्रमुख,प्रमुख,40
महत्,महत्,40
सुनी,सुनी,40
कवित,कविता,40
आग,आग,40
भालू,भालू,40
चित्रोंत्रों,चित्रों,39
रतन,रतन,39
त्री,तरी,39
नीम,नीम,39
प्राप्,प्राप्त,39
उससे,उससे,39
पुसतक,पुस्तक,39
प्रभाग,प्रभाग,39
रख,रख,39
चलते,चलते,39
भक्,भक,39
त््री,त्री,39
बिहू,बिहू,39
पक्ी,पकी,39
लगभग,लगभग,39
उद्ान,उद्यान,39
क््या,क्या,39
वैसे,वैसे,39
लोककथा,लोककथा,39
थथा,तथा,38
मिश्र,मिश्र,38
अपनने,अपनाने,38
प्रसन्न,प्रसन्न,38
जंगल,जंगल,38
लघुपतनक,लघुपतनक,38
आँख,आँख,38
शक्,शक्त,38
संबंधी,संबंधी,38
सुनाइए,सुनाइए,38
आँखें,आँखें,38
तारा,तारा,38
कैसी,कैसी,38
विशेषण,विशेषण,38
खोजकर,खोजकर,38
आँगन,आँगन,38
मिलने,मिलने,38
कथन,कथन,38
खेलने,खेलने,38
जाएँ,जाएं,38
प्रतयेक,प्रत्येक,37
गुफा,गुफा,37
रचनाएँ,रचनाएं,37
भाी,भी,37
बजे,बजे,37
अनुभवों,अनुभवों,37
देंगे,देंगे,37
दृश्य,दृश्य,37
चट्टान,चट्टान,37
आकार,आकार,37
आदित्य,आदित्य,37
समृद्ध,समृद्ध,37
उन्,उन,37
संदेश,संदेश,37
ओणम,ओणम,37
राग,राग,37
पड़ता,पड़ता,37
राष्ट्रीय,राष्ट्रीय,37
मौसम,मौसम,37
कथक,कथक,37
पुस््तक,पुस्तक,37
संविदा,संविदा,37
शब्दकोश,शब्दकोश,37
नाटक,नाटक,37
वर््णन,वर्णन,37
मदन,मदन,37
बोली,बोली,37
क्रिया,क्रिया,37
रस,रस,37
सुबह,सुबह,36
शाम,शाम,36
पंख,पंख,36
आरंभ,आरंभ,36
पुस्तकालय,पुस्तकालय,36
दीपक,दीपक,36
ध््ययान,ध्यान,36
प्रारंभिक,प्रारंभिक,36
कल,कल,36
तुमने,तुमने,36
पैरों,पैरों,36
दस,दस,36
बनी,बनी,36
वापस,वापस,36
मंगेशकर,मंगेशकर,36
साभार,साभार,36
रंगों,रंगों,36
रखकर,रखकर,36
गतिविधियाँ,गतिविधियाँ,36
दादा,दादा,36
मिट्टी,मिट्टी,36
जुड़ी,जुड़ी,36
खेलों,खेलों,36
सवयं,स्वयं,36
त्योहार,त्योहार,36
कहना,कहना,36
मिलता,मिलता,36
कही,कही,36
चािहए,चाहिए,36
कायर्,कार्य,35
जाएगी,जाएगी,35
पहला,पहला,35
दुख,दुख,35
वही,वही,35
जल्दी,जल्दी,35
पर्यावरण,पर्यावरण,35
अंतरिक्ष,अंतरिक्ष,35
समझते,समझते,35
वर,वर,35
नीचचे,नीचे,35
बातत,बात,35
सोचने,सोचने,35
युद्ध,युद्ध,35
पाँव,पांव,35
मनुष्य,मनुष्य,35
हहैं,हैं,35
महत्वपूर्ण,महत्वपूर्ण,35
अध्यापिका,अध्यापिका,35
कितना,कितना,35
खाते,खाते,35
घटना,घटना,35
खुद,खुद,34
अभिनय,अभिनय,34
इनकी,इनकी,34
जिसके,जिसके,34
मौखिक,मौखिक,34
घोंघे,घोंघे,34
लगाया,लगाया,34
लोक,लोक,34
बताने,बताने,34
रखने,रखने,34
जिसका,जिसका,34
भावना,भावना,34
भरी,भरी,34
लेिकन,लेकिन,34
ताल,ताल,34
विस्तार,विस्तार,34
विषयों,विषयों,34
तर,तर,34
इसकी,इसकी,34
गुण,गुण,34
परंतु,परंतु,34
हमेशा,हमेशा,34
परि,परि,34
सौरभ,सौरभ,34
पत्थर,पत्थर,33
ढूँढ़कर,ढूँढ़कर,33
छह,छह,33
पौधा,पौधा,33
गाना,गाना,33
फूलों,फूलों,33
समाचार,समाचार,33
खरगोश,खरगोश,33
प्रिय,प्रिय,33
लाए,लाए,33
जीव,जीव,33
पाुट्तका,पुस्तिका,33
वहीं,वहीं,33
यये,यह,33
यिद,यदि,33
नहींं,नहीं,33
आचार्य,आचार्य,33
गाते,गाते,33
हड्डी,हड्डी,33
दादाजी,दादाजी,33
ज्यादा,ज्यादा,33
गा,गा,33
सबको,सबको,33
क्ेत्र,क्षेत्र,33
कृष्ण,कृष्ण,33
न्याय,न्याय,33
चंद्रयान,चंद्रयान,32
प्रकट,प्रकट,32
सेठ,सेठ,32
दया,दया,32
नृत्,नृत्य,32
चाचा,चाचा,32
निदेशक,निदेशक,32
हरा,हरा,32
बगीचे,बगीचे,32
चाहेंगे,चाहेंगे,32
वसतुओं,वस्तुओं,32
सहपाठियों,सहपाठियों,32
हेतु,हेतु,32
पढ़ने,पढ़ने,32
खेलते,खेलते,32
बच्,बच्चे,32
धन,धन,32
कहने,कहने,32
संपादक,संपादक,32
निर्माण,निर्माण,32
निम्,निम्न,32
खुशी,खुशी,32
पान,पान,32
सुनने,सुनने,32
स््थथिति,स्थिति,32
खेत,खेत,32
सभा,सभा,32
करनने,करने,32
भला,भला,32
बाबूलाल,बाबूलाल,32
प्रययोग,प्रयोग,31
प्यार,प्यार,31
आवाज,आवाज़,31
दीवार,दीवार,31
किनारे,किनारे,31
पिढ़ए,पीढ़ी,31
सुभाषचंद्र,सुभाषचंद्र,31
शामिल,शामिल,31
कौशल,कौशल,31
बिंदु,बिंदु,31
शास्,शास्त्र,31
लंबी,लंबी,31
भरिए,भरो,31
सत्रिया,स्त्रियां,31
कलपना,कल्पना,31
सुनें,सुनें,31
भगवान,भगवान,31
बनाई,बनाई,31
जग,जग,31
सुनाई,सुनाई,31
ततर,तत्पर,31
तालिका,तालिका,31
नाना,नाना,31
अगले,अगले,31
बाबू,बाबू,31
कुल,कुल,31
पहुँच,पहुँच,31
शहर,शहर,31
विशेषताओं,विशेषताओं,31
प्रथम,प्रथम,31
वैज्ञानिक,वैज्ञानिक,31
मित्रोंत्रों,मित्रों,30
शतरंज,शतरंज,30
ज्ान,ज्ञान,30
मेले,मेले,30
साग,साग,30
हें,हैं,30
सावन,सावन,30
साक्षात्कार,साक्षात्कार,30
पुत्र,पुत्र,30
तुम्हारी,तुम्हारी,30
बारिश,बारिश,30
सदसय,सदस्य,30
मेहमान,मेहमान,30
सोने,सोने,30
बारी,बारी,30
मिलते,मिलते,30
ऊँची,ऊँची,30
कहकर,कहकर,30
अच्छी,अच्छी,30
ह़ो,हो,30
सरोवर,सरोवर,30
तेज,तेज,30
निम्नलिखित,निम्नलिखित,30
मिठाई,मिठाई,30
माँद,माँद,30
पीठ,पीठ,30
सचमुच,सचमुच,30
चंदा,चंदा,30
सागर,सागर,30
छोड़,छोड़,30
बिंदुओं,बिंदुओं,30
अवश्य,अवश्य,30
ततक,तक,30
नन््हहेमल,नन्हेमल,30
लें,लें,30
आठ,आठ,30
मन्थरक,मंथरक,30
भाषाओं,भाषाओं,30
विविध,विविध,30
बोस,बोस,30
रेत,रेत,29
किसने,किसने,29
करे,करे,29
वाह,वाह,29
विभिन्न,विभिन्न,29
रीढ़,रीढ़,29
अिधक,अधिक,29
राष्ट्रीट्रीय,राष्ट्रीय,29
कदम,कदम,29
दों,दो,29
सुंदरता,सुंदरता,29
बिलकुल,बिलकुल,29
गरम,गरम,29
करनना,करना,29
बनाएँ,बनाएँ,29
सच,सच,29
जलदी,जल्दी,29
मानो,मानो,29
व््यक्,व्यक्त,29
झरोखे,झरोखे,29
छत,छत,29
वन,वन,29
लाठी,लाठी,29
स्थानों,स्थानों,29
बनाते,बनाते,29
संज्ा,संज्ञा,29
सहज,सहज,29
सटीक,सटीक,29
किसके,किसके,29
खोज,खोज,29
थोड़ा,थोड़ा,29
समग्र,समग्र,28
रखना,रखना,28
क््यया,क्या,28
खोजें,खोजें,28
कठिन,कठिन,28
प्,प,28
सुमन,सुमन,28
रुचि,रुचि,28
कारऩे,कारण,28
संगम,संगम,28
आना,आना,28
चलने,चलने,28
शीर्षक,शीर्षक,28
पौधों,पौधों,28
ऊँचा,ऊँचा,28
तुमहें,तुम्हें,28
गिरा,गिरा,28
नभ,नभ,28
प्रसाद,प्रसाद,28
साहित्य,साहित्य,28
मधुर,मधुर,28
चाहता,चाहता,28
बीज,बीज,28
सम्मिलितत,सम्मिलित,28
सफेद,सफेद,28
सुधार,सुधार,28
लेता,लेता,28
अंतिम,अंतिम,28
प्रशंसा,प्रशंसा,28
व््ययायाध,व्यायाम,28
मानव,मानव,28
विज्ान,विज्ञान,28
पं,पं,28
माध्यम,माध्यम,28
करनी,करनी,28
मुझसे,मुझसे,27
विकसित,विकसित,27
काँटे,काँटे,27
क्षमा,क्षमा,27
जिन,जिन,27
यहाँँ,यहाँ,27
मालूम,मालूम,27
संभव,संभव,27
ज्ञान,ज्ञान,27
उल्लेख,उल्लेख,27
सृजन,सृजन,27
आयया,आया,27
गति,गति,27
महाबली,महाबली,27
चाहे,चाहे,27
शि,शि,27
चुप,चुप,27
वृद्धा,वृद्धा,27
संग्रह,संग्रह,27
खिलौने,खिलौने,27
हिंद,हिंद,27
पढ़ी,पढ़ी,27
संग,संग,27
जानना,जानना,27
ययाद,याद,27
कागज,कागज,27
साथी,साथी,27
